"P_IDENT","Catalog_ID","S_NYSM_NUM","UNIT_ID","Shape_Area","POINT_X","POINT_Y","U_TYPE","U_LBL","LEVEL_ID","L_STRAT","START","END","Assemblage","MATNAME","TYPENAME","CATNAME","CODE","IDENTIFY","BEGDATE","ENDDATE","N"
"1BOW.00.101",1749,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Native","Chipped Stone","Other Tool","Biface","BIF","biface",,,4
"1BOW.00.101",1747,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Native","Chipped Stone","Other Tool","Drill","DRIL","drill",,,1
"1BOW.00.101",1744,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Native","Chipped Stone","Debitage","Shatter","SHAT","shatter",,,1
"1BOW.00.101",1746,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Native","Chipped Stone","Debitage","Utilized Flake","UTIL","utilized flake",,,1
"1BOW.00.101",1689,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Native","Ground or Rough Stone","Rough Tool","Netsinker","NETS","netsinker",,,1
"1BOW.00.101",1690,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Native","Ground or Rough Stone","Rough Tool","Pitted Stone","PTST","pitted stone",,,2
"1BOW.00.101",1743,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Native","Ground or Rough Stone","Rough Tool","Pitted Stone","PTST","pitted stone",,,4
"1BOW.00.101",1693,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Domestic","Bone/Antler","Refuse/Unmodified","Bone","KB","kitchen bone",,,1
"1BOW.00.101",1694,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Other","Botanical","Sample","Charcoal","OCH","charcoal",,,1
"1BOW.00.101",1755,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Other","Botanical","Sample","Charcoal","OCH","charcoal",,,1
"1BOW.00.101",1718,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Other","Metal","Unidentified","Ferrous","UIS","unidentified iron/steel",,,9
"1BOW.00.101",1771,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Other","Metal","Unidentified","Ferrous","UIS","unidentified iron/steel",,,1
"1BOW.00.101",1772,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Other","Metal","Unidentified","Ferrous","UIS","unidentified iron/steel",,,1
"1BOW.00.101",1719,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Other","Metal","Unidentified","Ferrous","UIS","unidentified iron/steel",,,3
"1BOW.00.101",1756,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Other","Metal","Unidentified","Other Metal","OM","other metal",,,2
"1BOW.00.101",6234,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Architectural","Metal","Architectural Hardware","Wrought Nail","UWN","unidentified wrought nail",,,3
