"CODE","MATERIAL","MATNAME","ARTIFACT","TYPENAME","CATEGORY","CATNAME","SUBCAT","IDENTIFY","BEGDATE","ENDDATE"
"OPMT",7,"Metal",2,"Personal Item",99,"Other Metal Personal Item",99,"other metal personal item",NA,NA
"OPOP",7,"Metal",6,"Domestic/Activity",5,"Cans",3,"aluminum can pull tab",NA,NA
"OPRH",7,"Metal",3,"Architectural Hardware",6,"Plumbing",99,"other plumbing-related hardware",NA,NA
"OPTG",9,"Glass",4,"Glass Vessel",1,"Tableware",11,"colored table glass, pressed",NA,NA
"ORBU",13,"Other",1,"Debris",12,"Tar",2,"Orangeburg pipe",1890,1970
"ORE",8,"Ceramics",2,"Sherd",7,"Red Earthenware",98,"other red earthenware",NA,NA
"OREC",13,"Other",4,"Plastic",8,"Plastic",52,"other record material",NA,NA
"ORNA",7,"Metal",2,"Personal Item",7,"Ornament",1,"metal ornament",NA,NA
"ORST",3,"Ground or Rough Stone",1,"Rough Tool",99,"Other Rough Tool",99,"other rough stone tool",NA,NA
"ORSW",8,"Ceramics",2,"Sherd",8,"Red Stoneware",98,"other red stoneware",NA,NA
"ORUB",13,"Other",5,"Rubber",11,"Rubber",4,"other rubber",NA,NA
"OS",8,"Ceramics",2,"Sherd",11,"Slip-Decorated Redware",5,"brown glazed slip-decorated redware",1770,1830
"OSAM",6,"Botanical",2,"Sample",99,"Other Botanical Sample",99,"other botanical sample",NA,NA
"OSDR",8,"Ceramics",2,"Sherd",11,"Slip-Decorated Redware",96,"other slip-decorated redware",NA,NA
"OSH",5,"Shell",1,"Refuse/Unmodified",99,"Other Shell",99,"other shell",NA,NA
"OSHT",5,"Shell",2,"Tool",99,"Other Shell Tool",99,"other worked shell tool",NA,NA
"OSK",8,"Ceramics",4,"Pipe",1,"Kaolin Pipe",6,"Kaolin pipe stem frag, 6/64 in. bore",NA,NA
"OSL",13,"Other",1,"Debris",3,"Coal",3,"slag",NA,NA
"OSMT",7,"Metal",7,"Metallurgy",2,"Iron Smelting",99,"other iron smelting metal",NA,NA
"OSPI",3,"Ground or Rough Stone",3,"Personal Item",99,"Other Personal Item",99,"other stone personal item",NA,NA
"OSTE",3,"Ground or Rough Stone",5,"All Steatite/Soapstone",99,"Other Steatite/Soapstone",99,"other steatite/soapstone",NA,NA
"OSTN",3,"Ground or Rough Stone",7,"Architectural Stone",99,"Other Architectural Stone",99,"other architectural stone frag",NA,NA
"OTAC",8,"Ceramics",6,"Architectural Ceramic",5,"Miscellaneous Ceramic",99,"other architectural ceramics",NA,NA
"OTAP",13,"Other",4,"Plastic",9,"Tape",5,"other tape",NA,NA
"OTBA",6,"Botanical",3,"Architectural",99,"Other Botanical Architectural Object",99,"other botanical architectural object",NA,NA
"OTBE",8,"Ceramics",2,"Sherd",2,"Buff Earthenware",99,"other buff earthenware",NA,NA
"OTBG",9,"Glass",4,"Glass Vessel",3,"Bottle Glass",99,"other bottle glass",NA,NA
"OTBR",8,"Ceramics",5,"Brick",1,"Brick",99,"other brick",NA,NA
"OTC",8,"Ceramics",2,"Sherd",3,"Creamware",99,"other creamware",NA,NA
"OTCG",9,"Glass",4,"Glass Vessel",2,"Curved Glass",99,"other curved glass",NA,NA
"OTCS",1,"Chipped Stone",5,"Other Chipped Stone",99,"Other Chipped Stone",99,"other chipped stone",NA,NA
"OTDB",1,"Chipped Stone",3,"Debitage",99,"Other Debitage",99,"other debitage",NA,NA
"OTFG",9,"Glass",1,"Flat Glass",1,"Flat Glass",99,"other flat glass",NA,NA
"OTFR",8,"Ceramics",2,"Sherd",8,"Red Stoneware",99,"other fine red stoneware",NA,NA
